,,,,,,,m^2,n,ha,days,days,days,days,,,,,,,,,,,
3,Oecologia,DOI:10.1007/s00442-004-1742-9,2005,field_direct observation,Australia (Northern Territory),python parasite loading,0.4,15,0.0006,0.5,15,1,730,0,0,2,0,,plot_res; t_btwn_samp; study_duration,Recaptured sample within a month,,,,
4,Biol Cons,doi:10.1016/j.biocon.2007.12.021,2008,field_direct observation,Panama,spatial patterns of hunting,0.1,1269,0.01269,1,0,1,232,2,0,1,2,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp,"I made the hunted animals the sample units, rather than the hunting households themselves. I could also have recorded hunting area extent, which was 131 km2",,,,
5,Advances in Ecological Research,DOI: 10.1016/S0065-2504(07)00009-8,2008,field_direct observation,Greenland,hydrology and sediment transport,0.196349541,1,1.96E-05,4015,0,4015,4015,0,0,2,0,DOI: 10.1016/S0065-2504(07)00006-2,study_duration,"rain gauge information, and presumably inputs to models, soil moisture, etc,",,,,
5,Advances in Ecological Research,DOI: 10.1016/S0065-2504(07)00009-8,2008,field_direct observation,Greenland,hydrology and sediment transport,512000000,1,51200,1.16E-05,0.010416667,4.461111111,4015,0,0,1,0,,samp_duration; study_duration,discharge measurements,,,,
5,Advances in Ecological Research,DOI: 10.1016/S0065-2504(07)00009-8,2008,field_direct observation,Greenland,hydrology and sediment transport,0.001963495,1,1.96E-07,1.16E-05,1,0.046469907,4015,0,0,2,0,,res; study_duration,"sediment measurements, assume also attachs to water chemistry",,,,
6,Jecology,doi: 10.1111/j.1365-2745.2009.01550.x2009,2009,field_direct observation,US (CA ; OR),pathogen prevalence and host fecundity in grasses,0.04,28,0.000112,0.000694444,0,0.000694444,31,1,1,1,1,,plot_res; n_sites,Fecundity and pathogen loading samples,,,,
6,Jecology,doi: 10.1111/j.1365-2745.2009.01550.x2009,2009,field_direct observation,US (CA ; OR),pathogen prevalence and host fecundity in grasses,10,36,0.036,0.083333333,0,0.083333333,31,1,1,0,1,,samp_duration; study_duration,"Biomass clippings - it is something to consider whether we should assume these measures reflect time to sample, or should they instead represent the time signficance to each thing being sampled (for a clipped piece of grass, it represents biomass at that instant, not over two hours of growth)",,,,
6,Jecology,doi: 10.1111/j.1365-2745.2009.01550.x2009,2009,field_direct observation,US (CA ; OR),pathogen prevalence and host fecundity in grasses,0.5,36,0.0018,0.003472222,0,0.003472222,31,1,1,0,1,,samp_duration; study_duration,Areal cover of grass,,,,
6,Jecology,doi: 10.1111/j.1365-2745.2009.01550.x2009,2009,field_direct observation,US (CA ; OR),pathogen prevalence and host fecundity in grasses,0.007853982,54,4.24E-05,0.006944444,0,0.006944444,31,0,0,2,0,,samp_duration; study_duration,soil cores of texture and nutrient status,,,,
7,EcolAppl,Narrowing the agronomic yield gap with improved nitrogen use efficiency: a modeling approach,2010,field_direct observation,Mexico (Yaqui Valley),N use efficiency in crops,0.078539816,15,0.00011781,0.069444444,0,0.069444444,180,0,0,2,0,,plo_res; samp_duration; study_span,Soil samples at farmers' fields,,,,
7,EcolAppl,Narrowing the agronomic yield gap with improved nitrogen use efficiency: a modeling approach,2010,field_direct observation,Mexico (Yaqui Valley),N use efficiency in crops,0.196349541,14,0.000274889,180,0,180,180,0,0,2,0,,plot_res; sampled_area; samp_duration; t_btwn_samp; study_duration: study_span,Weather station observations. Not sure of frequency in these,,,,
8,Ecosystems,DOI: 10.1007/s10021-007-9072-5,2007,field_direct observation,Spain ,coral population structure and harvesting impacts,0.52,5115.384615,0.266,0.003472222,0,0.003472222,270,0,1,0,0,DOI 10.1007/s00227-006-0302-8,plot_res; n_sites; samp_duration,Colony abundance; poor record in referenced paper of N quadrats of each size,,,Bad reporting,(1st time noting this)
8,Ecosystems,DOI: 10.1007/s10021-007-9072-5,2007,field_direct observation,Spain ,coral population structure and harvesting impacts,0.033,3038.4,0.266,5.79E-05,0,5.79E-05,270,0,2,0,0,DOI 10.1007/s00227-006-0302-8,plot_res; n_sites; sampled_area,Basal diameter and colony height. Had to work out camera frame size,,,,
9,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,1,300,0.266,0.003472222,730,0.006944444,1095,3,0,0,3,,samp_duration; study_duration,grassland composition plots,,,,
9,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.031415927,12,3.77E-05,5.797619048,0.000694444,75.36904762,400,0,0,2,0,10.1016/j.catena.2008.06.003; 10.1016/j.jaridenv.2007.09.004,study_duration,dust deposition and N deposition,,,,
9,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.5,84,0.0042,0.003472222,0,0.003472222,30,1,0,1,1,10.1007/s00374-009-0378-7,samp_duration; study_span,N fixation by cyanobacteria,,,,
9,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.37,6,0.000222,0.010416667,0.125,20.16666667,467,0,0,1,0,10.1007/s10021-007-9043-x,samp_duration; study_duration,N20 fluxes,,,,
9,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.25,6,0.00015,0.004166667,0.05,3.333333333,40,0,0,1,0,10.1007/s10021-007-9043-x,study_duration,N20 fluxes,,,,
9,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,1,18,0.0018,0.006944444,242,0.125,853,0,1,1,0,10.1007/s11104-008-9579-3,plot_res; n_sites; samp_duration; t_btwn_samp,"Above ground biomass, ANPP: had to parse and guess methods from a different cited study (Gao et al 2008)",,,,
9,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.005674502,15,8.51E-06,0.006944444,236,0.111111111,853,0,2,1,0,10.1007/s11104-008-9579-3,n_sites; samp_duration; t_btwn_samp,Augurs for Root biomass; BNPP; live:dead ratio,,,,
9,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.001256637,12,1.51E-06,0.041666667,60.58333333,0.5,720,0,2,2,0,10.1007/s11104-008-9579-3,n_sites; samp_duration,"In growth cores for biomass, BNPP; root biomass N concentrations",,,,
9,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.005674502,100,5.67E-05,0.006944444,0,0.006944444,120,0,2,2,0,,plot_res; samp_duration; study_span,"soil cores: bulk density, N, OC",,,,
9,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,1,9,0.0009,0.083333333,0,0.083333333,120,0,1,2,0,,plot_res; samp_duration; study_span,"soil pits: amount, composition, turnover of SOM",,,,
10,Div Dist,10.1111/j.1366-9516.2005.00187.x,2005,field_direct observation,"Victoria, Australia",Ecological boundary detection,100,200,2,0.020833333,0,0.020833333,90,3,1,0,2,,samp_duration; study_span,Percent cover of all plants in quadrat,,,,
10,Div Dist,10.1111/j.1366-9516.2005.00187.x,2005,field_direct observation,"Victoria, Australia",Ecological boundary detection,0.005674502,600,0.00034047,0.020833333,0,0.020833333,90,0,2,0,0,,samp_duration; study_span,Five soil variables,,,,
10,Div Dist,10.1111/j.1366-9516.2005.00187.x,2005,field_direct observation,"Minas Gerais, Brazil",Ecological boundary detection,4,80,0.032,0.017361111,0,0.017361111,28,3,0,0,2,10.1111/j.1442-9993.2004.01373.x,samp_duration,Arthropod sampling,,,,
10,Div Dist,10.1111/j.1366-9516.2005.00187.x,2005,field_direct observation,"Minas Gerais, Brazil",Ecological boundary detection,0.000314159,80,2.51E-06,0.017361111,0,0.017361111,28,0,2,0,0,10.1111/j.1442-9993.2004.01373.x,samp_duration,"air temp, luminosity, air moisture",,,,
11,Oikos,10.1111/j.1600-0706.2011.19771.x,2012,field_direct observation,"Indiana, USA",scavenger community response,1,500,0.05,10,10,308,1172,0,1,0,0,http://digitalcommons.unl.edu/hwi/40,plot_res; n_sites; sampled_area,Racoon abundance in control plots,,,,
12,Biogeosciences,10.5194/bg-10-5325-2013,2013,field_direct observation,Germany,Sea surface nanolayer seasonality,0.494800843,1,4.95E-05,0.041666667,34.58333333,1.5,1246,0,0,2,0,,samp_duration; t_btwn_samp; study_duration; study_span,Unclear how many 7 dip samples were made each month. N repeats based on counting points on graph. Exact start and end dates not reported,,,,
13,Biogeosciences,10.5194/bg-11-463-2014,2014,field_direct observation,South Atlantic,nutrient controls on phytoplankton,0.785398163,160,0.012566371,0.083333333,0,0.083333333,28,2,2,2,1,,plot_res; n_sites; sampled_area; samp_duration,"CTD meaures with Seabird 911 sampler: this was a depth profiler, so probably down to 120 m",,,,
13,Biogeosciences,10.5194/bg-11-463-2014,2014,field_direct observation,South Atlantic,nutrient controls on phytoplankton,0.007853982,4032,0.003166725,1.16E-05,0.006944444,0.046666667,28,0,0,1,0,,plot_res; n_sites; samp_duration,Shipborne PAR readings,,,,
13,Biogeosciences,10.5194/bg-11-463-2014,2014,remote sensing,South Atlantic,nutrient controls on phytoplankton,640050,37178059,2379581666,1.16E-05,1,0.002094907,181,0,0,2,0,,plot_res; n_sites; sample_area; samp_duration; t_btwn_samp_study_span,"MODIS SST and chl-A.  Many of these values were estimated with R, probably pretty closely to actual values in paper. Main uncertainty is what MODIS dates they used",,,,
13,Biogeosciences,10.5194/bg-11-463-2014,2014,field_direct observation,South Atlantic,nutrient controls on phytoplankton,0.007853982,13,1.02E-05,1.16E-05,95.76923077,0.000347222,28,0,0,1,0,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Trace metal samples. When samples were taken is unclear,,,,
14,Behav Ecol,10.1093/beheco/arj023,2006,field_direct observation,Italy,effects of androgen on different bird sexes,0.017671459,37,6.54E-05,0.003472222,1,0.208333333,409,0,1,0,1,,plot_res; sampled_area; samp_duration; study_duration; study_span,"Monitoring eggs in broods/nest.  Very little detail given on dates or number of nests, in particular",,,,
14,Behav Ecol,10.1093/beheco/arj023,2006,field_direct observation,Italy,effects of androgen on different bird sexes,0.001963495,158,3.10E-05,0.006944444,4,0.020833333,409,0,2,0,1,,plot_res; sampled_area; samp_duration; study_duration; study_span,,,,,
15,EcolAppl,10.1890/07-2088.1,2009,field_direct observation,US (MS; NC),Pine pollen viability response,7.85E-05,30,0.002356194,0.000694444,0,0.000694444,24,0,1,1,0,,plot_res; n_sites; sampled_area; samp_duration; study_duration,Main uncertainty here was n_sites.,,,,
16,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,201,5,0.1005,0.041666667,365,0.125,730,1,2,0,1,10.1111/j.1365-2486.2009.01983.x,samp_duration; study_duration; study_span,Main forest plots (Silas Little),,,,
16,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,7.85E-05,1,7.85E-09,1.16E-05,0.000115741,795,1095,0,0,2,0,10.1111/j.1365-2486.2009.01983.x,plot_res; sampled_area; study_duration; study_span,"Met data, including windspeed for eddy flux",,,,
16,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,3000,1,0.3,0.041666667,0,0.041666667,1,1,2,0,1,,samp_duration; study_duration; study_span,sub-plot,,,,
16,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,0.0005,36,0.0000018,0.010416667,0,0.010416667,1,1,0,1,1,,samp_duration; study_duration; study_span,increment cores,,,,
16,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,0.42,10,0.00042,30,30,450,883,0,0,1,0,10.1111/j.1365-2486.2009.01983.x,study_duration; study_span,litter accumulation,,,,
16,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,0.031415927,82,0.000257611,0.020833333,0.020833333,3.041666667,146,0,0,1,0,,plot_res; sampled_area,sap flux,,,,
16,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,0.008547368,57,0.00004872,0.003472222,30,0.017361111,146,1,0,2,0,,plot_res; sampled_area; samp_duration; study_duration,"Leaf gas exchange, leaf nutrient, C content also",,,,
16,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,0.0925,1,0.00000925,0.020833333,0.020833333,24.0625,1155,0,0,1,0,10.1111/j.1365-2486.2009.01983.x,plot_res; sampled area; study_duration; study_span,gas analyzer as part of Eddy flux measurement,,,,
16,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,1,15,0.0015,0.006944444,0,0.006944444,146,1,1,0,1,,n_sites; sampled_area; samp_duration; study_duration,biomass and LAI,,,,
16,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,201,5,0.1005,0.041666667,30,0.125,146,0,1,0,0,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration; study_span,Leaf area profile from upward looking lidar,,,,
17,MethodsEcolEvo,10.1111/2041-210X.12096,2013,passive/automated data,Southern Indian Ocean,Turning angle estimation methods,1.5,27,69.1452,1.16E-05,0.000131595,0.197602881,2952,1,1,1,1,10.1073/pnas.1121201109,plot_res; samples_area; samp_duration; study_duration,Wandering albatross flight GPS data. Calculations made in calcs sheet,,,,
18,Jecology,10.1111/j.1365-2745.2004.00961.x,2005,field_direct observation,New Zealand,Edge effects on different mistletoe recruitment stages,0.031415927,189,0.000593761,0.006944444,1826,2.625,1946,1,2,1,0,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration; study_span,Adult and juvenile growth rate samples,,,,
18,Jecology,10.1111/j.1365-2745.2004.00961.x,2005,field_direct observation,New Zealand,Edge effects on different mistletoe recruitment stages,0.031415927,232,0.000728849,0.006944444,0,1.611111111,30,1,1,1,1,,plot_res; sampled_area; samp_duration; study_duration,seedling growth,,,,
19,GCB,10.1111/j.1365-2486.2011.02592.x,2012,field_direct observation,"Colorado, USA",Drought-induced biomass declines,310,60,1.86,0.020833333,365,3.75,821,1,2,0,0,,plot_res; samp_duration; t_btwn_samp; study_duration,Aspen biomass plots,,,,
19,GCB,10.1111/j.1365-2486.2011.02592.x,2012,remote sensing,"Colorado, USA",Drought-induced biomass declines,900,1048333.333,3145000,1.16E-05,0,1.16E-05,1,0,2,0,0,,,"Landsat estimate of NPV.  Note, a DEM was also mentioned, but no details given.  Assumed same characteristics as landsat (SRTM), just added one further structural depth (height)",,,,
20,Biogeosciences,10.5194/bg-2-43-2005,2005,field_direct observation,Mediterranean,Seagrass meadow system respiration,0.0254469,7,1.78E-05,1,30,19,486,0,0,1,0,http://link.springer.com/article/10.1007/BF02784990,samp_duration; t_btwn_samp; study_duration,Incubations,,,,
20,Biogeosciences,10.5194/bg-2-43-2005,2005,field_direct observation,Mediterranean,Seagrass meadow system respiration,0.441786467,32,0.001413717,0.000416667,0,0.000416667,1,0,0,2,0,,plot_res; sampled_area; samp_duration; study_duration,EUBAL-1 first cruise densest readings on this,,,,
20,Biogeosciences,10.5194/bg-2-43-2005,2005,field_direct observation,Mediterranean,Seagrass meadow system respiration,0.441786467,11,0.000485965,0.000416667,0,0.000416667,116,0,0,2,0,,plot_res; sampled_area; samp_duration; study_duration,"EUBAL-1 and 2, less dense sampling",,,,
20,Biogeosciences,10.5194/bg-2-43-2005,2005,passive/automated data,Mediterranean,Seagrass meadow system respiration,0.070685835,36,0.000254469,0.008897569,0,0.008897569,116,0,0,1,0,,samp_duration; study_span,Direct current measurements with doppler,,,,
20,Biogeosciences,10.5194/bg-2-43-2005,2005,field_direct observation,Mediterranean,Seagrass meadow system respiration,7.85E-05,100,7.85E-07,1,106,2,116,0,0,2,0,,plot_res; sampled_area,Plankton GPP and CR and chlA,,,,
20,Biogeosciences,10.5194/bg-2-43-2005,2005,field_direct observation,Mediterranean,Seagrass meadow system respiration,0.441786467,22,0.00097193,0.000416667,100,0.000416667,116,0,0,1,0,,plot_res; sampled_area; samp_duration; study_duration,Fluorescence using CTD scanning,,,,
20,Biogeosciences,10.5194/bg-2-43-2005,2005,field_direct observation,Mediterranean,Seagrass meadow system respiration,0.000706858,100,7.07E-06,0.000347222,106,0.000694444,116,0,0,1,0,,samp_duration; study_duration,Light penetration readings,,,,
20,Biogeosciences,10.5194/bg-2-43-2005,2005,passive/automated data,Mediterranean,Seagrass meadow system respiration,0.000706858,48,3.39E-06,1.16E-05,12.88888889,1.16E-05,116,0,0,1,0,,n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Solar radiation measurements during cruise,,,,
20,Biogeosciences,10.5194/bg-2-43-2005,2005,passive/automated data,Mediterranean,Seagrass meadow system respiration,0.031415927,1200,0.003769911,1.16E-05,12.44444444,1.16E-05,118,0,0,2,0,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,"Underwater temp, salinity measurements. ",,,,
20,Biogeosciences,10.5194/bg-2-43-2005,2005,passive/automated data,Mediterranean,Seagrass meadow system respiration,0.017671459,14400,0.0254469,1.16E-05,12.44444444,1.16E-05,11,0,0,1,0,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Windspeed on EUBAL1,,,,
20,Biogeosciences,10.5194/bg-2-43-2005,2005,passive/automated data,Mediterranean,Seagrass meadow system respiration,0.017671459,1200,0.002120575,1.16E-05,12.44444444,1.16E-05,11,0,0,1,0,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Windspeed on EUBAL2,,,,
