observer,journal,DOI/title,study_year,study_type,country_region,subject_matter,plot_res,n_sites,sampled_area,samp_duration,t_btwn_samp,study_duration,study_span,composition,structure,function,tax_breadth,DOI_data_source,sensitivity,notes,exclusion reason,,,,,,,,,
Estes,Ecosystems,DOI: 10.1007/s10021-007-9072-5,2007,field_direct observation,Spain ,coral population structure and harvesting impacts,0.5200000,5115.384615,0.266,0.003472222,0,0.003472222,270,0,1,0,0,DOI 10.1007/s00227-006-0302-8,plot_res; n_sites; samp_duration,Colony abundance; poor record in referenced paper of N quadrats of each size,,,Bad reporting,(1st time noting this),,,,,,
Estes,Ecosystems,DOI: 10.1007/s10021-007-9072-5,2007,field_direct observation,Spain ,coral population structure and harvesting impacts,0.0330000,3038.4,0.266,5.78704E-05,0,5.78704E-05,270,0,2,0,0,DOI 10.1007/s00227-006-0302-8,plot_res; n_sites; sampled_area,Basal diameter and colony height. Had to work out camera frame size,,,,,,,,,,
Estes,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,1.0000000,300,0.266,0.003472222,730,0.006944444,1095,3,0,0,3,,samp_duration; study_duration,grassland composition plots,,,,,,,,,,
Estes,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.0314159,12,3.76991E-05,5.797619048,0.000694444,75.36904762,400,0,0,2,0,10.1016/j.catena.2008.06.003; 10.1016/j.jaridenv.2007.09.004,study_duration,dust deposition and N deposition,,,,,,,,,,
Estes,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.5000000,84,0.0042,0.003472222,0,0.003472222,30,1,0,1,1,10.1007/s00374-009-0378-7,samp_duration; study_span,N fixation by cyanobacteria,,,,,,,,,,
Estes,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.3700000,6,0.000222,0.010416667,0.125,20.16666667,467,0,0,1,0,10.1007/s10021-007-9043-x,samp_duration; study_duration,N20 fluxes,,,,,,,,,,
Estes,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.2500000,6,0.00015,0.004166667,0.05,3.333333333,40,0,0,1,0,10.1007/s10021-007-9043-x,study_duration,N20 fluxes,,,,,,,,,,
Estes,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,1.0000000,18,0.0018,0.006944444,242,0.125,853,0,1,1,0,10.1007/s11104-008-9579-3,plot_res; n_sites; samp_duration; t_btwn_samp,"Above ground biomass, ANPP: had to parse and guess methods from a different cited study (Gao et al 2008)",,,,,,,,,,
Estes,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.0056745,15,8.51175E-06,0.006944444,236,0.111111111,853,0,2,1,0,10.1007/s11104-008-9579-3,n_sites; samp_duration; t_btwn_samp,Augurs for Root biomass; BNPP; live:dead ratio,,,,,,,,,,
Estes,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.0012566,12,1.50796E-06,0.041666667,60.58333333,0.5,720,0,2,2,0,10.1007/s11104-008-9579-3,n_sites; samp_duration,"In growth cores for biomass, BNPP; root biomass N concentrations",,,,,,,,,,
Estes,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,0.0056745,100,5.6745E-05,0.006944444,0,0.006944444,120,0,2,2,0,,plot_res; samp_duration; study_span,"soil cores: bulk density, N, OC",,,,,,,,,,
Estes,Ecol Mon,10.1890/12-0114.1,2013,field_direct observation,"Inner Mongolia, China",grazing impacts on N,1.0000000,9,0.0009,0.083333333,0,0.083333333,120,0,1,2,0,,plot_res; samp_duration; study_span,"soil pits: amount, composition, turnover of SOM",,,,,,,,,,
Estes,Div Dist,10.1111/j.1366-9516.2005.00187.x,2005,field_direct observation,"Victoria, Australia",Ecological boundary detection,100.0000000,200,2,0.020833333,0,0.020833333,90,3,1,0,2,,samp_duration; study_span,Percent cover of all plants in quadrat,,,,,,,,,,
Estes,Div Dist,10.1111/j.1366-9516.2005.00187.x,2005,field_direct observation,"Victoria, Australia",Ecological boundary detection,0.0056745,600,0.00034047,0.020833333,0,0.020833333,90,0,2,0,0,,samp_duration; study_span,Five soil variables,,,,,,,,,,
Estes,Div Dist,10.1111/j.1366-9516.2005.00187.x,2005,field_direct observation,"Minas Gerais, Brazil",Ecological boundary detection,4.0000000,80,0.032,0.017361111,0,0.017361111,28,3,0,0,2,10.1111/j.1442-9993.2004.01373.x,samp_duration,Arthropod sampling,,,,,,,,,,
Estes,Div Dist,10.1111/j.1366-9516.2005.00187.x,2005,field_direct observation,"Minas Gerais, Brazil",Ecological boundary detection,0.0003142,80,2.51327E-06,0.017361111,0,0.017361111,28,0,2,0,0,10.1111/j.1442-9993.2004.01373.x,samp_duration,"air temp, luminosity, air moisture",,,,,,,,,,
Estes,Oikos,10.1111/j.1600-0706.2011.19771.x,2012,field_direct observation,"Indiana, USA",scavenger community response,1.0000000,500,0.05,10,10,308,1172,0,1,0,0,http://digitalcommons.unl.edu/hwi/40,plot_res; n_sites; sampled_area,Racoon abundance in control plots,,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-10-5325-2013,2013,field_direct observation,Germany,Sea surface nanolayer seasonality,0.4948008,1,4.94801E-05,0.041666667,34.58333333,1.5,1246,0,0,2,0,,samp_duration; t_btwn_samp; study_duration; study_span,Unclear how many 7 dip samples were made each month. N repeats based on counting points on graph. Exact start and end dates not reported,,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-11-463-2014,2014,field_direct observation,South Atlantic,nutrient controls on phytoplankton,0.7853982,160,0.012566371,0.083333333,0,0.083333333,28,2,2,2,1,,plot_res; n_sites; sampled_area; samp_duration,"CTD meaures with Seabird 911 sampler: this was a depth profiler, so probably down to 120 m",,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-11-463-2014,2014,field_direct observation,South Atlantic,nutrient controls on phytoplankton,0.0078540,4032,0.003166725,1.15741E-05,0.006944444,0.046666667,28,0,0,1,0,,plot_res; n_sites; samp_duration,Shipborne PAR readings,,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-11-463-2014,2014,remote sensing,South Atlantic,nutrient controls on phytoplankton,640050.0000000,37178059,2379581666,1.15741E-05,1,0.002094907,181,0,0,2,0,,plot_res; n_sites; sample_area; samp_duration; t_btwn_samp_study_span,"MODIS SST and chl-A.  Many of these values were estimated with R, probably pretty closely to actual values in paper. Main uncertainty is what MODIS dates they used",,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-11-463-2014,2014,field_direct observation,South Atlantic,nutrient controls on phytoplankton,0.0078540,13,1.02102E-05,1.15741E-05,95.76923077,0.000347222,28,0,0,1,0,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Trace metal samples. When samples were taken is unclear,,,,,,,,,,
Estes,Behav Ecol,10.1093/beheco/arj023,2006,field_direct observation,Italy,effects of androgen on different bird sexes,0.0176715,37,6.53844E-05,0.003472222,1,0.208333333,409,0,1,0,1,,plot_res; sampled_area; samp_duration; study_duration; study_span,"Monitoring eggs in broods/nest.  Very little detail given on dates or number of nests, in particular",,,,,,,,,,
Estes,Behav Ecol,10.1093/beheco/arj023,2006,field_direct observation,Italy,effects of androgen on different bird sexes,0.0019635,158,3.10232E-05,0.006944444,4,0.020833333,409,0,2,0,1,,plot_res; sampled_area; samp_duration; study_duration; study_span,,,,,,,,,,,
Estes,EcolAppl,10.1890/07-2088.1,2009,field_direct observation,US (MS; NC),Pine pollen viability response,0.0000785,30,0.002356194,0.000694444,0,0.000694444,24,0,1,1,0,,plot_res; n_sites; sampled_area; samp_duration; study_duration,Main uncertainty here was n_sites.,,,,,,,,,,
Estes,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,201.0000000,5,0.1005,0.041666667,365,0.125,730,1,2,0,1,10.1111/j.1365-2486.2009.01983.x,samp_duration; study_duration; study_span,Main forest plots (Silas Little),,,,,,,,,,
Estes,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,0.0000785,1,7.85398E-09,1.15741E-05,0.000115741,795,1095,0,0,2,0,10.1111/j.1365-2486.2009.01983.x,plot_res; sampled_area; study_duration; study_span,"Met data, including windspeed for eddy flux",,,,,,,,,,
Estes,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,3000.0000000,1,0.3,0.041666667,0,0.041666667,1,1,2,0,1,,samp_duration; study_duration; study_span,sub-plot,,,,,,,,,,
Estes,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,0.0005000,36,0.0000018,0.010416667,0,0.010416667,1,1,0,1,1,,samp_duration; study_duration; study_span,increment cores,,,,,,,,,,
Estes,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,0.4200000,10,0.00042,30,30,450,883,0,0,1,0,10.1111/j.1365-2486.2009.01983.x,study_duration; study_span,litter accumulation,,,,,,,,,,
Estes,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,0.0314159,82,0.000257611,0.020833333,0.020833333,3.041666667,146,0,0,1,0,,plot_res; sampled_area,sap flux,,,,,,,,,,
Estes,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,0.0085474,57,0.00004872,0.003472222,30,0.017361111,146,1,0,2,0,,plot_res; sampled_area; samp_duration; study_duration,"Leaf gas exchange, leaf nutrient, C content also",,,,,,,,,,
Estes,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,0.0925000,1,0.00000925,0.020833333,0.020833333,24.0625,1155,0,0,1,0,10.1111/j.1365-2486.2009.01983.x,plot_res; sampled area; study_duration; study_span,gas analyzer as part of Eddy flux measurement,,,,,,,,,,
Estes,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,1.0000000,15,0.0015,0.006944444,0,0.006944444,146,1,1,0,1,,n_sites; sampled_area; samp_duration; study_duration,biomass and LAI,,,,,,,,,,
Estes,GCB,10.1111/j.1365-2486.2009.02037.x,2010,field_direct observation,"NJ, USA",C flux due to insect outbreak,201.0000000,5,0.1005,0.041666667,30,0.125,146,0,1,0,0,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration; study_span,Leaf area profile from upward looking lidar,,,,,,,,,,
Estes,MethodsEcolEvo,10.1111/2041-210X.12096,2013,passive/automated data,Southern Indian Ocean,Turning angle estimation methods,1.5000000,27,69.1452,1.15741E-05,0.000131595,0.197602881,2952,1,1,1,1,10.1073/pnas.1121201109,plot_res; samples_area; samp_duration; study_duration,Wandering albatross flight GPS data. Calculations made in calcs sheet,,,,,,,,,,
Estes,Jecology,10.1111/j.1365-2745.2004.00961.x,2005,field_direct observation,New Zealand,Edge effects on different mistletoe recruitment stages,0.0314159,189,0.000593761,0.006944444,1826,2.625,1946,1,2,1,0,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration; study_span,Adult and juvenile growth rate samples,,,,,,,,,,
Estes,Jecology,10.1111/j.1365-2745.2004.00961.x,2005,field_direct observation,New Zealand,Edge effects on different mistletoe recruitment stages,0.0314159,232,0.000728849,0.006944444,0,1.611111111,30,1,1,1,1,,plot_res; sampled_area; samp_duration; study_duration,seedling growth,,,,,,,,,,
Estes,GCB,10.1111/j.1365-2486.2011.02592.x,2012,field_direct observation,"Colorado, USA",Drought-induced biomass declines,310.0000000,60,1.86,0.020833333,365,3.75,821,1,2,0,0,,plot_res; samp_duration; t_btwn_samp; study_duration,Aspen biomass plots,,,,,,,,,,
Estes,GCB,10.1111/j.1365-2486.2011.02592.x,2012,remote sensing,"Colorado, USA",Drought-induced biomass declines,900.0000000,1048333.333,3145000,1.15741E-05,0,1.15741E-05,1,0,2,0,0,,,"Landsat estimate of NPV.  Note, a DEM was also mentioned, but no details given.  Assumed same characteristics as landsat (SRTM), just added one further structural depth (height)",,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-2-43-2005,2005,field_direct observation,Mediterranean,Seagrass meadow system respiration,0.0254469,7,1.78128E-05,1,30,19,486,0,0,1,0,http://link.springer.com/article/10.1007/BF02784990,samp_duration; t_btwn_samp; study_duration,Incubations,,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-2-43-2005,2005,field_direct observation,Mediterranean,Seagrass meadow system respiration,0.4417865,32,0.001413717,0.000416667,0,0.000416667,1,0,0,2,0,,plot_res; sampled_area; samp_duration; study_duration,EUBAL-1 first cruise densest readings on this,,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-2-43-2005,2005,field_direct observation,Mediterranean,Seagrass meadow system respiration,0.4417865,11,0.000485965,0.000416667,0,0.000416667,116,0,0,2,0,,plot_res; sampled_area; samp_duration; study_duration,"EUBAL-1 and 2, less dense sampling",,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-2-43-2005,2005,passive/automated data,Mediterranean,Seagrass meadow system respiration,0.0706858,36,0.000254469,0.008897569,0,0.008897569,116,0,0,1,0,,samp_duration; study_span,Direct current measurements with doppler,,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-2-43-2005,2005,field_direct observation,Mediterranean,Seagrass meadow system respiration,0.0000785,100,7.85398E-07,1,106,2,116,0,0,2,0,,plot_res; sampled_area,Plankton GPP and CR and chlA,,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-2-43-2005,2005,field_direct observation,Mediterranean,Seagrass meadow system respiration,0.4417865,22,0.00097193,0.000416667,100,0.000416667,116,0,0,1,0,,plot_res; sampled_area; samp_duration; study_duration,Fluorescence using CTD scanning,,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-2-43-2005,2005,field_direct observation,Mediterranean,Seagrass meadow system respiration,0.0007069,100,7.06858E-06,0.000347222,106,0.000694444,116,0,0,1,0,,samp_duration; study_duration,Light penetration readings,,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-2-43-2005,2005,passive/automated data,Mediterranean,Seagrass meadow system respiration,0.0007069,48,3.39292E-06,1.15741E-05,12.88888889,1.15741E-05,116,0,0,1,0,,n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Solar radiation measurements during cruise,,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-2-43-2005,2005,passive/automated data,Mediterranean,Seagrass meadow system respiration,0.0314159,1200,0.003769911,1.15741E-05,12.44444444,1.15741E-05,118,0,0,2,0,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,"Underwater temp, salinity measurements. ",,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-2-43-2005,2005,passive/automated data,Mediterranean,Seagrass meadow system respiration,0.0176715,14400,0.0254469,1.15741E-05,12.44444444,1.15741E-05,11,0,0,1,0,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Windspeed on EUBAL1,,,,,,,,,,
Estes,Biogeosciences,10.5194/bg-2-43-2005,2005,passive/automated data,Mediterranean,Seagrass meadow system respiration,0.0176715,1200,0.002120575,1.15741E-05,12.44444444,1.15741E-05,11,0,0,1,0,,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Windspeed on EUBAL2,,,,,,,,,,
Ahmed,Biogeosciences,10.5194/bg-10-7661-2013,2013,automated data collection,"Gypsum Hill, Axel Heiberg Island, Nunavut, Canada",Community characterization of gypsum endoliths,0.0000033,1,3.29867E-10,1.15764E-05,0.010416667,1.645833333,289,0,0,1,0,,plot_res; n_sites; samp_duration,surface temp sensor @ 15 minute interval,,,,,,,,,,
Ahmed,Biogeosciences,10.5194/bg-10-7661-2013,2013,automated data collection,"Gypsum Hill, Axel Heiberg Island, Nunavut, Canada",Community characterization of gypsum endoliths,0.0000033,1,3.29867E-10,1.15764E-05,1.15764E-05,1.208333333,289,0,0,1,0,,plot_res; n_sites; samp_duration,surface temp sensor @ 1 sec interval,,,,,,,,,,
Ahmed,Biogeosciences,10.5194/bg-10-7661-2013,2013,automated data collection,"Gypsum Hill, Axel Heiberg Island, Nunavut, Canada",Community characterization of gypsum endoliths,0.0000454,1,4.53646E-09,1.15764E-05,0.010416667,1.645833333,289,0,0,0,0,,plot_res; n_sites; samp_duration,air temp probe @ 15 minute interval,,,,,,,,,,
Ahmed,Biogeosciences,10.5194/bg-10-7661-2013,2013,automated data collection,"Gypsum Hill, Axel Heiberg Island, Nunavut, Canada",Community characterization of gypsum endoliths,0.0000454,1,4.53646E-09,1.15764E-05,1.15764E-05,1.208333333,289,0,0,0,0,,plot_res; n_sites; samp_duration,air temp probe @ 1 sec interval,,,,,,,,,,
Ahmed,Biogeosciences,10.5194/bg-10-7661-2013,2013,automated data collection,"Gypsum Hill, Axel Heiberg Island, Nunavut, Canada",Community characterization of gypsum endoliths,0.0004449,1,4.44881E-08,1.15764E-05,0.010416667,1.645833333,289,0,0,1,0,,plot_res; n_sites; samp_duration,PAR sensor @ 15 minute interval,,,,,,,,,,
Ahmed,Biogeosciences,10.5194/bg-10-7661-2013,2013,automated data collection,"Gypsum Hill, Axel Heiberg Island, Nunavut, Canada",Community characterization of gypsum endoliths,0.0004449,1,4.44881E-08,1.15764E-05,1.15764E-05,1.208333333,289,0,0,1,0,,plot_res; n_sites; samp_duration,PAR sensor @ 1 sec interval,,,,,,,,,,
Ahmed,Biological Conservation,10.1016/j.biocon.2008.09.014,2008,field/direct observation,"Lake Michigan and Lake Superior, USA",Relative fitness of wild vs. captive piping plovers ,0.0008060,192,1.54752E-05,1,324.2857143,192,5478,0,0,1,0,,plot_res; n_sites; sampled_area; study_duration,Piping plover - eggs salvaged - https://www.fws.gov/northeast/nyfo/es/GLplover03.pdf,,,,,,,,,,
Ahmed,Biological Conservation,10.1016/j.biocon.2008.09.014,2008,field/direct observation,"Lake Michigan and Lake Superior, USA",Relative fitness of wild vs. captive piping plovers ,0.0008060,164,1.32184E-05,28,324.2857143,4592,5478,0,0,1,0,,plot_res; sampled_area; t_btwn_samp,Piping plover - eggs hatched,,,,,,,,,,
Ahmed,Biological Conservation,10.1016/j.biocon.2008.08.021,2008,field/direct observation,"Southern Tablelands of New South Wales, Australia",How fragmentation affects remnant vegetation in southeast Australia,10000.0000000,1,1,0.083333333,365,1,730,2,3,1,1,10.1016/j.biocon.2006.08.004,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Adaminaby cemetery,,,,,,,,,,
Ahmed,Biological Conservation,10.1016/j.biocon.2008.08.021,2008,field/direct observation,"Southern Tablelands of New South Wales, Australia",How fragmentation affects remnant vegetation in southeast Australia,2500.0000000,1.5,0.375,0.083333333,365,1,730,2,3,1,1,10.1016/j.biocon.2006.08.004,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Jerrabomberra,,,,,,,,,,
Ahmed,Biological Conservation,10.1016/j.biocon.2008.08.021,2008,field/direct observation,"Southern Tablelands of New South Wales, Australia",How fragmentation affects remnant vegetation in southeast Australia,4166.6666667,2.5,1.041666667,0.083333333,365,1,730,2,3,1,1,10.1016/j.biocon.2006.08.004,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Campbell park,,,,,,,,,,
Ahmed,Biological Conservation,10.1016/j.biocon.2008.08.021,2008,field/direct observation,"Southern Tablelands of New South Wales, Australia",How fragmentation affects remnant vegetation in southeast Australia,15000.0000000,3,4.5,0.083333333,365,1,730,2,3,1,1,10.1016/j.biocon.2006.08.004,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Native dog,,,,,,,,,,
Ahmed,Biological Conservation,10.1016/j.biocon.2008.08.021,2008,field/direct observation,"Southern Tablelands of New South Wales, Australia",How fragmentation affects remnant vegetation in southeast Australia,10000.0000000,1,1,0.083333333,365,1,730,2,3,1,1,10.1016/j.biocon.2006.08.004,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Braidwood,,,,,,,,,,
Ahmed,Biological Conservation,10.1016/j.biocon.2008.08.021,2008,field/direct observation,"Southern Tablelands of New South Wales, Australia",How fragmentation affects remnant vegetation in southeast Australia,70000.0000000,7,49,0.083333333,365,1,730,2,3,1,1,10.1016/j.biocon.2006.08.004,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Berrabangalo,,,,,,,,,,
Ahmed,Biological Conservation,10.1016/j.biocon.2008.08.021,2008,field/direct observation,"Southern Tablelands of New South Wales, Australia",How fragmentation affects remnant vegetation in southeast Australia,588.2352941,1,0.058823529,0.083333333,365,1,730,2,3,1,1,10.1016/j.biocon.2006.08.004,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Adaminaby road,,,,,,,,,,
Ahmed,Biological Conservation,10.1016/j.biocon.2008.08.021,2008,field/direct observation,"Southern Tablelands of New South Wales, Australia",How fragmentation affects remnant vegetation in southeast Australia,10555.5555556,9.5,10.02777778,0.083333333,365,1,730,2,3,1,1,10.1016/j.biocon.2006.08.004,plot_res; n_sites; sampled_area; samp_duration; t_btwn_samp; study_duration,Gydzderick,,,,,,,,,,
